-1746, -65, -84, -99, -69, -47, -99, -33, -97, -59, -33, -205, -41, -41, -47, -150, -58, -54, -41, -39, -31, -29, -37, -29, -63, -45, -23, -33, -21, -29, -33, -23, -50, -19, -23, -19, -17, -43, -27, -33, -27, -23, -15, -19, -35, -17, -25, -25, -17, -15, -19, -23, -21, -23, -21, -17, -19, -17, -21, -19, -19, -25, -27, -15, -15, -23, -23, -127, -27, -15, -27, -19, -19, -23, -19, -17, -21, -15, -21, -23, -15, -19, -15, -17, -23, -15, -19, -19, -15, -17, -19, -15, -15, -21, -19, -19, -17, -15, -22, -21, -17, -15, -15, -17, -19, -128, -21, -17, -15, -16, -15, -15, -17, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -23, -19, -15, -15, -15, -15, -15, -15, -15, -17, -19, -15, -15, -15, -15, -15, -15, -15, -19, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -19, -17, -15, -22, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -16, -15, -15, -15, -15, -15, -15, -15, -15, -15, -21, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -17, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -17, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -19, -24, -18, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -18, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -17, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -19, -19, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -19, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -20, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -23, -17, -15, -15, -17, -15, -16, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -17, -17, -17, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -18, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -15, -15, -17, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -15, -17, -19, -21, -21, -19, -21, -17, -25, -31, -19, -21, -19, -27, -21, -21, -21, -17, -21, -19, -17, -17, -19, -21, -17, -21, -21, -21, -19, -21, -17, -17, -25, -19, -17, -17, -17, -17, -19, -17, -19, -19, -17, -21, -19, -19, -17, -17, -17, -17, -17, -17, -17, -17, -17, -19, -17, -19, -17, -19, -19, -17, -20, -17, -17, -19, -17, -17, -21, -21, -17, -19, -18, -17, -19, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -19, -17, -17, -17, -17, -17, -17, -17, -17, -17, -19, -17, -17, -17, -19, -19, -17, -17, -17, -17, -17, -18, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -19, -17, -17, -18, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -18, -17, -17, -18, -17, -17, -17, -17, -17, -17, -17, -17, -17, -19, -17, -17, -19, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -19, -17, -18, -20, -17, -17, -17, -17, -17, -19, -17, -18, -19, -17, -17, -17, -17, -17, -17, -17, -17, -19, -17, -17, -17, -17, -17, -17, -19, -17, -17, -17, -17, -19, -18, -17, -17, -17, -17, -17, -19, -17, -17, -17, -19, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -19, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -19, -17, -17, -19, -19, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -18, -19, -17, -17, -19, -17, -17, -18, -17, -17, -17, -17, -17, -17, -17, -19, -17, -17, -17, -17, -17, -19, -17, -17, -17, -17, -17, -18, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -17, -21, -17, -17, -21, -17, -17, -17, -17, -17, -17, -17
-972, -1133, -213, -238, -220, -35, -123, -39, -80, -53, -35, -217, -65, -52, -213, -75, -62, -27, -50, -44, -50, -42, -174, -24, -33, -29, -55, -43, -26, -47, -154, -23, -23, -25, -38, -29, -24, -23, -29, -22, -29, -33, -21, -25, -28, -22, -28, -20, -33, -21, -27, -21, -20, -22, -25, -20, -25, -17, -21, -17, -17, -237, -19, -21, -117, -33, -33, -20, -27, -25, -22, -17, -28, -24, -22, -17, -20, -17, -21, -22, -23, -17, -17, -20, -20, -17, -17, -31, -19, -18, -17, -118, -19, -21, -23, -17, -18, -24, -17, -19, -17, -17, -18, -23, -137, -19, -19, -25, -118, -19, -20, -19, -21, -23, -20, -19, -21, -130, -19, -17, -19, -24, -17, -24, -17, -17, -17, -19, -23, -17, -21, -18, -17, -21, -120, -19, -17, -19, -17, -17, -19, -15, -21, -21, -22, -17, -17, -20, -17, -17, -18, -23, -18, -18, -227, -20, -17, -19, -17, -21, -19, -19, -19, -19, -130, -117, -17, -18, -22, -25, -17, -19, -17, -21, -19, -17, -117, -17, -19, -19, -17, -17, -19, -19, -17, -20, -26, -25, -20, -19, -22, -21, -18, -17, -17, -22, -17, -19, -18, -17, -19, -27, -22, -18, -17, -18, -19, -144, -27, -17, -19, -21, -156, -19, -18, -21, -19, -17, -19, -17, -22, -21, -23, -17, -20, -22, -19, -20, -19, -21, -21, -21, -17, -23, -20, -23, -23, -17, -20, -22, -21, -134, -33, -33, -27, -22, -45, -49, -153, -27, -37, -23, -31, -23, -61, -22, -22, -24, -19, -20, -19, -17, -21, -19, -17, -20, -19, -17, -18, -18, -22, -19, -20, -17, -27, -17, -17, -18, -17, -19, -17, -219, -20, -17, -19, -19, -19, -19, -20, -23, -20, -19, -17, -20, -18, -27, -19, -17, -21, -19, -20, -19, -117, -17, -21, -18, -17, -17, -18, -17, -19, -17, -18, -19, -19, -119, -17, -19, -19, -19, -21, -20, -18, -17, -18, -17, -19, -17, -21, -20, -27, -23, -19, -23, -36, -27, -17, -17, -17, -17, -17, -21, -19, -19, -19, -23, -18, -17, -18, -20, -24, -17, -23, -17, -20, -18, -17, -18, -25, -25, -17, -18, -56, -36, -25, -31, -28, -19, -117, -21, -31, -24, -19, -21, -23, -26, -27, -20, -23, -19, -17, -20, -117, -20, -23, -20, -19, -20, -19, -20, -17, -17, -17, -25, -17, -22, -24, -119, -120, -20, -18, -73, -25, -23, -22, -175, -18, -19, -21, -17, -119, -19, -21, -17, -17, -18, -22, -21, -18, -22, -19, -19, -19, -28, -20, -19, -30, -21, -20, -19, -18, -19, -20, -17, -24, -17, -22, -20, -18, -17, -20, -17, -21, -27, -122, -22, -21, -21, -20, -24, -22, -24, -22, -20, -35, -27, -19, -19, -28, -21, -25, -20, -29, -193, -205, -46, -26, -28, -29, -19, -21, -21, -119, -17, -29, -17, -19, -32, -25, -26, -17, -17, -22, -18, -17, -21, -17, -18, -20, -17, -20, -25, -17, -17, -17, -17, -123, -21, -23, -39, -24, -17, -23, -18, -18, -17, -17, -20, -19, -17, -17, -19, -22, -20, -17, -17, -21, -21, -18, -19, -22, -17, -21, -17, -19, -19, -17, -20, -20, -17, -17, -17, -20, -19, -21, -19, -17, -18, -19, -21, -21, -19, -41, -21, -28, -18, -17, -17, -17, -17, -19, -19, -21, -24, -21, -17, -24, -24, -21, -17, -17, -20, -17, -19, -21, -18, -17, -21, -23, -21, -17, -17, -17, -19, -120, -123, -19, -17, -17, -19, -21, -22, -17, -19, -17, -22, -17, -19, -18, -18, -18, -19, -27, -17, -31, -18, -19, -20, -19, -123, -17, -22, -23, -22, -19, -18, -17, -22, -17, -25, -19, -23, -30, -22, -40, -21, -17, -19, -21, -19, -19, -19, -19, -19, -20, -17, -19, -17, -27, -19, -24, -17, -17, -19, -17, -18, -21, -22, -19, -19, -18, -21, -17, -27, -18, -20, -19, -18, -19, -25, -24, -17, -119, -19, -19, -19, -21, -26, -17, -20, -23, -17, -17, -22, -19, -17, -117, -17, -17, -17, -17, -21, -19, -20, -20, -351, -22, -19, -26, -27, -22, -23, -23, -18, -22, -20, -117, -23, -17, -19, -19, -17, -19, -17, -17, -18, -17, -54, -24, -19, -17, -19, -22, -17, -21, -17, -17, -17, -18, -17, -19, -17, -17, -17, -20, -21, -25, -21, -18, -22, -25, -146, -24, -18, -17, -17, -17, -19, -26, -20, -17, -17, -18, -21, -17, -24, -19, -19, -20, -31, -26, -32, -19, -22, -17, -18, -21, -30, -24, -17, -18, -23, -17, -121, -19, -22, -17, -19, -17, -17, -25, -17, -18, -21, -19, -22, -22, -19, -17, -19, -17, -21, -19, -21, -18, -17, -19, -17, -18, -22, -20, -19, -17, -17, -19, -19, -17, -19, -17, -17, -20, -25, -18, -17, -21, -17, -19, -21, -17, -19, -19, -20, -19, -21, -19, -21, -23, -17, -22, -17, -21, -19, -19, -25, -22, -19, -135, -20, -21, -20, -17, -17, -18, -20, -18, -20, -17, -34, -22, -26, -19, -17, -20, -21, -17, -19, -119, -24, -21, -17, -17, -21, -19, -23, -19, -17, -21, -17, -19, -19, -18, -17, -18, -19, -17, -18, -17, -22, -17, -20, -17, -18, -24, -19, -24, -19, -21, -134, -23, -26, -21, -17, -18, -27, -27, -21, -17, -29, -30, -29, -18, -21, -19, -712, -126, -60, -70, -65, -81, -35, -25, -60, -136, -33, -23, -50, -24, -23, -123, -26, -21, -31, -21, -20, -17, -23, -17, -17, -17, -21, -18, -18, -17, -17, -231, -18, -19, -118, -20, -22, -17, -23, -18, -20, -22, -21, -27, -17, -17, -19, -17, -20, -18, -19, -20, -117, -21, -18, -19, -23, -19, -19, -18, -29, -19, -22, -23, -17, -19, -17, -30, -21, -17, -17, -18, -19, -18, -17, -18, -17, -19, -19, -22, -26, -17, -23, -18, -22, -20, -17, -17, -30, -20, -21, -20, -19, -24, -19, -26, -20, -18, -21, -32, -30, -19, -22, -21, -20, -20, -17, -22, -19, -20, -20, -22, -22, -19, -22, -21, -24
-1769, -1198, -247, -166, -51, -522, -803, -469, -53, -23, -51, -174, -21, -264, -154, -162, -162, -22, -307, -401, -256, -405, -377, -209, -44, -716, -269, -221, -35, -190, -429, -232, -44, -158, -38, -141, -29, -36, -22, -165, -32, -41, -35, -26, -25, -134, -24, -29, -46, -25, -51, -40, -40, -35, -23, -43, -31, -21, -43, -31, -130, -38, -27, -33, -29, -44, -187, -39, -22, -34, -43, -27, -39, -20, -26, -47, -34, -29, -46, -44, -29, -27, -31, -30, -125, -27, -26, -26, -26, -26, -20, -30, -25, -23, -21, -30, -28, -130, -24, -20, -23, -25, -129, -22, -27, -23, -141, -27, -27, -25, -22, -34, -23, -25, -130, -24, -26, -29, -66, -44, -125, -29, -28, -24, -37, -30, -29, -20, -29, -24, -32, -28, -23, -24, -19, -23, -32, -131, -25, -22, -27, -18, -28, -26, -174, -26, -29, -22, -42, -42, -21, -127, -40, -35, -238, -23, -30, -31, -23, -31, -19, -22, -28, -79, -29, -121, -19, -23, -22, -17, -117, -122, -121, -22, -171, -129, -29, -109, -189, -181, -191, -39, -57, -24, -45, -32, -43, -30, -27, -34, -21, -131, -22, -25, -22, -25, -124, -18, -26, -27, -23, -30, -24, -31, -21, -23, -155, -132, -51, -32, -164, -31, -23, -32, -131, -22, -28, -125, -28, -19, -30, -128, -227, -26, -31, -19, -38, -27, -36, -30, -26, -30, -25, -40, -29, -131, -67, -51, -23, -153, -23, -18, -42, -23, -30, -25, -32, -23, -22, -20, -48, -27, -31, -122, -21, -33, -28, -128, -27, -28, -18, -23, -25, -27, -306, -31, -26, -50, -27, -223, -158, -113, -137, -1153, -91, -30, -270, -27, -34, -42, -28, -34, -126, -24, -32, -25, -25, -17, -19, -28, -23, -31, -70, -140, -22, -17, -29, -24, -19, -25, -43, -25, -35, -22, -129, -21, -24, -125, -132, -30, -19, -23, -28, -22, -27, -22, -34, -33, -27, -23, -27, -21, -23, -17, -30, -26, -150, -21, -27, -21, -202, -31, -26, -25, -27, -139, -23, -22, -126, -21, -128, -25, -23, -219, -25, -31, -27, -22, -37, -35, -55, -27, -21, -25, -23, -72, -192, -32, -65, -98, -58, -34, -152, -140, -31, -25, -30, -27, -223, -35, -34, -26, -32, -28, -25, -23, -31, -26, -223, -22, -31, -24, -36, -27, -22, -27, -32, -29, -24, -142, -26, -140, -26, -26, -23, -33, -43, -24, -33, -24, -37, -79, -69, -24, -35, -122, -33, -26, -29, -24, -25, -125, -120, -28, -26, -26, -221, -21, -32, -33, -38, -30, -22, -33, -18, -20, -26, -30, -27, -35, -36, -24, -21, -38, -33, -24, -39, -32, -30, -34, -31, -119, -20, -20, -27, -20, -32, -19, -27, -37, -23, -22, -29, -25, -31, -26, -17, -119, -134, -20, -26, -29, -27, -22, -25, -21, -32, -230, -19, -21, -25, -27, -31, -26, -29, -18, -31, -21, -26, -27, -22, -124, -22, -26, -22, -27, -43, -44, -24, -21, -23, -24, -22, -59, -28, -25, -38, -17, -23, -28, -120, -22, -21, -23, -25, -26, -21, -21, -30, -22, -22, -24, -23, -27, -26, -38, -42, -135, -29, -28, -30, -21, -123, -23, -25, -22, -29, -20, -22, -120, -31, -26, -19, -38, -37, -27, -33, -27, -25, -32, -123, -128, -50, -23, -26, -21, -18, -21, -23, -32, -26, -19, -28, -27, -22, -22, -36, -27, -21, -27, -27, -28, -28, -26, -24, -25, -18, -23, -26, -41, -37, -31, -146, -41, -48, -33, -30, -32, -21, -21, -26, -20, -140, -26, -22, -18, -132, -23, -54, -59, -46, -20, -34, -21, -133, -24, -30, -30, -20, -22, -22, -27, -133, -28, -29, -25, -27, -18, -25, -239, -21, -25, -127, -128, -127, -26, -27, -20, -28, -20, -22, -125, -27, -121, -23, -42, -29, -21, -25, -26, -30, -293, -40, -221, -26, -135, -25, -31, -42, -25, -32, -47, -151, -62, -27, -125, -23, -22, -30, -52, -19, -20, -21, -23, -26, -27, -21, -26, -18, -28, -37, -47, -28, -131, -119, -22, -38, -19, -30, -21, -23, -124, -120, -129, -21, -19, -119, -28, -70, -29, -32, -24, -28, -33, -29, -24, -23, -24, -25, -19, -24, -72, -26, -146, -30, -23, -22, -22, -126, -21, -21, -24, -24, -22, -134, -23, -36, -22, -29, -24, -26, -28, -31, -41, -30, -32, -37, -33, -155, -34, -25, -38, -29, -22, -32, -27, -231, -121, -29, -24, -31, -26, -32, -125, -26, -20, -31, -22, -19, -22, -24, -224, -31, -40, -22, -29, -30, -30, -22, -123, -28, -230, -30, -72, -128, -30, -26, -46, -23, -31, -29, -28, -63, -62, -56, -57, -49, -79, -132, -28, -43, -129, -23, -26, -30, -24, -22, -20, -24, -21, -32, -35, -125, -21, -230, -21, -29, -19, -21, -20, -29, -31, -36, -46, -235, -30, -29, -27, -35, -30, -38, -23, -25, -23, -19, -125, -124, -27, -22, -21, -130, -24, -27, -22, -27, -24, -24, -21, -24, -23, -27, -30, -41, -32, -21, -28, -27, -20, -25, -23, -31, -26, -22, -18, -30, -122, -118, -22, -34, -24, -37, -20, -22, -32, -27, -25, -32, -26, -42, -23, -127, -20, -19, -25, -34, -23, -22, -24, -118, -26, -28, -240, -19, -25, -124, -21, -24, -23, -30, -21, -30, -35, -22, -33, -128, -138, -21, -29, -62, -27, -29, -129, -29, -35, -24, -22, -33, -37, -27, -24, -25, -25, -33, -21, -36, -32, -26, -23, -24, -30, -31, -20, -28, -100, -37, -33, -31, -47, -133, -20, -28, -33, -22, -25, -25, -28, -35, -17, -22, -35, -23, -20, -23, -123, -26, -25, -136, -21, -36, -24, -24, -28, -26, -234, -31, -68, -44, -35, -46, -35, -27, -31, -34, -19, -29, -126, -21, -19, -21, -121, -33, -25, -121, -26, -19, -29, -20, -24, -42, -21, -233, -24, -28, -29, -28, -26, -34, -23, -23, -21, -125, -28, -23, -27, -35, -23, -18, -27, -30, -20, -27, -20, -32, -20, -25, -22, -17, -22, -121, -18, -23, -23, -51, -37, -142, -42, -32, -25, -31, -124
-4346, -196, -154, -192, -553, -87, -161, -86, -401, -42, -189, -58, -27, -29, -29, -43, -44, -68, -630, -476, -49, -158, -303, -137, -84, -56, -144, -268, -145, -43, -631, -66, -26, -499, -241, -180, -162, -371, -478, -1277, -151, -67, -921, -50, -58, -191, -362, -135, -76, -51, -39, -384, -934, -250, -44, -528, -332, -166, -46, -68, -391, -164, -47, -241, -68, -116, -44, -335, -308, -132, -153, -428, -291, -156, -63, -40, -49, -47, -1719, -264, -409, -805, -48, -47, -56, -28, -46, -287, -308, -39, -48, -136, -57, -274, -614, -43, -32, -188, -43, -44, -27, -44, -153, -261, -40, -43, -35, -41, -44, -235, -49, -255, -71, -60, -36, -300, -56, -304, -135, -295, -347, -43, -165, -570, -39, -268, -102, -302, -66, -143, -39, -57, -405, -96, -35, -114, -90, -150, -178, -162, -94, -146, -163, -603, -153, -295, -62, -43, -103, -236, -101, -599, -42, -55, -40, -138, -139, -134, -48, -475, -172, -45, -62, -274, -142, -304, -264, -34, -27, -208, -143, -42, -420, -278, -51, -37, -132, -144, -31, -173, -62, -36, -97, -46, -170, -34, -290, -50, -260, -26, -125, -184, -269, -32, -206, -58, -453, -239, -38, -153, -53, -226, -89, -243, -125, -36, -195, -44, -29, -188, -186, -76, -66, -30, -511, -443, -134, -398, -624, -41, -425, -161, -50, -199, -58, -310, -48, -48, -28, -348, -136, -55, -32, -29, -139, -370, -40, -32, -39, -64, -377, -162, -40, -141, -176, -155, -146, -368, -33, -41, -157, -44, -40, -26, -148, -49, -356, -30, -300, -82, -285, -68, -390, -38, -447, -422, -169, -30, -165, -378, -372, -186, -34, -124, -193, -61, -186, -468, -68, -51, -42, -57, -282, -187, -30, -152, -28, -145, -568, -162, -93, -42, -151, -401, -45, -253, -162, -63, -188, -277, -51, -293, -79, -376, -65, -159, -64, -30, -50, -26, -31, -124, -141, -157, -192, -33, -50, -33, -38, -88, -492, -183, -44, -42, -232, -30, -56, -139, -185, -235, -152, -554, -59, -266, -34, -81, -93, -32, -277, -57, -141, -29, -31, -67, -257, -29, -172, -71, -65, -152, -71, -41, -344, -29, -42, -128, -33, -29, -50, -524, -38, -162, -37, -136, -494, -322, -147, -435, -459, -182, -136, -389, -40, -47, -33, -172, -67, -296, -41, -67, -155, -110, -41, -24, -498, -25, -29, -70, -45, -307, -155, -258, -615, -35, -134, -88, -373, -128, -55, -346, -28, -59, -128, -59, -56, -81, -556, -159, -254, -28, -130, -39, -290, -37, -39, -32, -128, -29, -31, -30, -28, -32, -163, -30, -138, -247, -46, -247, -46, -123, -21, -243, -42, -29, -148, -47, -29, -265, -35, -82, -129, -640, -50, -289, -34, -48, -261, -152, -391, -62, -344, -31, -398, -56, -61, -171, -32, -686, -35, -28, -1249, -293, -269, -58, -287, -152, -46, -42, -288, -43, -224, -68, -140, -100, -134, -308, -257, -414, -33, -348, -40, -69, -34, -38, -57, -244, -31, -88, -30, -143, -40, -313, -59, -135, -72, -183, -32, -134, -32, -36, -66, -162, -143, -27, -39, -409, -35, -27, -33, -130, -31, -37, -32, -139, -25, -49, -31, -189, -64, -278, -139, -37, -28, -32, -123, -165, -31, -152, -158, -82, -31, -47, -151, -41, -47, -28, -34, -31, -44, -176, -31, -42, -37, -285, -327, -45, -143, -41, -31, -45, -42, -26, -35, -39, -29, -145, -143, -53, -247, -28, -437, -144, -282, -24, -475, -31, -31, -167, -139, -138, -34, -418, -84, -420, -55, -50, -401, -28, -58, -378, -356, -27, -1201, -57, -32, -208, -46, -41, -37, -114, -41, -413, -39, -42, -341, -51, -153, -71, -42, -32, -43, -131, -598, -364, -29, -179, -30, -55, -243, -22, -114, -62, -145, -47, -33, -29, -269, -25, -29, -31, -347, -26, -157, -45, -43, -32, -29, -282, -38, -137, -37, -156, -195, -55, -42, -154, -40, -173, -36, -360, -44, -34, -58, -196, -33, -28, -277, -146, -192, -32, -37, -127, -170, -24, -32, -264, -229, -25, -33, -301, -176, -162, -293, -39, -40, -45, -340, -74, -36, -134, -936, -519, -41, -140, -100, -54, -449, -189, -41, -77, -68, -227, -549, -35, -132, -30, -34, -55, -90, -32, -268, -140, -178, -71, -255, -142, -55, -49, -51, -39, -912, -136, -273, -43, -28, -282, -45, -24, -804, -133, -46, -521, -46, -45, -31, -93, -332, -132, -156, -39, -41, -32, -32, -49, -142, -252, -333, -36, -147, -39, -568, -49, -64, -44, -142, -141, -63, -155, -128, -174, -34, -28, -269, -33, -27, -276, -137, -31, -61, -310, -41, -45, -136, -45, -44, -43, -484, -145, -57, -31, -248, -33, -131, -237, -54, -35, -43, -183, -151, -404, -60, -41, -58, -36, -142, -707, -37, -150, -33, -34, -136, -36, -297, -57, -162, -43, -162, -36, -21, -687, -46, -37, -46, -241, -177, -41, -66, -236, -347, -245, -140, -39, -147, -33, -51, -276, -34, -45, -22, -48, -47, -34, -164, -21, -247, -500, -74, -362, -109, -79, -393, -61, -151, -28, -134, -46, -44, -34, -721, -140, -255, -417, -32, -40, -65, -244, -133, -74, -192, -48, -142, -53, -239, -28, -63, -375, -28, -268, -146, -211, -521, -49, -191, -28, -66, -160, -44, -37, -35, -30, -50, -35, -807, -147, -259, -232, -221, -1334, -20, -272, -260, -36, -72, -48, -456, -32, -75, -264, -36, -37, -135, -34, -26, -152, -138, -171, -136, -38, -446, -151, -113, -31, -250, -244, -259, -142, -29, -373, -136, -46, -577, -147, -51, -330, -242, -33, -166, -34, -33, -25, -36, -377, -140, -196, -53, -44, -376, -64, -33, -268, -195, -267, -208, -366, -62, -30, -197, -30, -96, -503, -176, -261, -323, -410, -79, -157, -44, -120, -38, -48, -176, -309, -45, -324, -46, -248, -34, -196, -46, -394, -275, -30, -506, -146, -42, -200, -33, -770, -60, -243, -48, -36, -246, -26, -42, -151, -41, -152, -44, -32, -33, -31, -127, -32, -34, -260, -134, -34, -32, -71, -41, -88, -152, -31, -230, -412, -32, -249, -352, -50, -35, -47, -271, -68, -50, -246, -146, -146, -425, -41
